Link,Node 1 Lat,Node 1 Lon,Node 2 Lat, Node 2 Lon
14708-11592,38.943094,-94.535825,38.9404534,-94.5387178
11245-14708,38.9460962,-94.5342423,38.943094,-94.535824
11424-11410,38.9425916,-94.5355979,38.943633,-94.535233
14700-11410,38.9428052,-94.5356689,38.943633,-94.535233
11410-14712,38.943633,-94.535233,38.9458134,-94.5341119
11462-11512,38.946684,-94.534571,38.943056,-94.537071
11512-11578,38.943056,-94.537072,38.9423589,-94.5375732
11512-14704,38.943056,-94.537072,38.9424496,-94.537587
11512-14704,38.9418484,-94.5380995,38.9412466,-94.5386579
14691-14690,38.9535051,-94.5398312,38.9540778,-94.5399693
11157-11175,38.9540789,-94.5402105,38.9535037,-94.5400723
11140-11323,38.9544645,-94.550711,38.9540352,-94.5502533
11323-11140,38.9540352,-94.5502533,38.9544645,-94.550711
11155-869,38.9543457,-94.5612251,38.9544614,-94.5627883
869-11155,38.9543514,-94.5628046,38.9542351,-94.5612271
11155-869,38.9545146,-94.563506,38.954553,-94.5640252
869-11155,38.9544466,-94.5640615,38.9544056,-94.5635284
651-652,38.9398616,-94.5669711,38.9399117,-94.5680279
14779-649,38.9397156,-94.5680332,38.9396655,-94.5670194
11707-2676,38.933159,-94.6334004,38.9332091,-94.6343338
11707-11709,38.9330591,-94.6334164,38.9330538,-94.6343499
11718-2719,38.9328669,-94.6343606,38.9328628,-94.6333897
2702-2719,38.9327626,-94.6343606,38.9327501,-94.6333575
313-315,38.9348647,-94.6929618,38.9349157,-94.6937848
2655-326,38.9347245,-94.693804,38.9346772,-94.6929756
11678-314,38.9351483,-94.6938254,38.9351,-94.692707
313-14084,38.9353418,-94.6938951,38.9353123,-94.69252
14083-327,38.9345493,-94.6938524,38.9344883,-94.6930065
14104-190,38.9345688,-94.7023899,38.9347718,-94.7016278
11668-11505,38.9385503,-94.648933,38.9391669,-94.6489321
11505-11668,38.9391669,-94.6489321,38.9385503,-94.648933
11717-11835,38.9313379,-94.6298519,38.930802,-94.6294475
11835-11717,38.930802,-94.6294475,38.9313379,-94.6298519
12346-12351,38.8982318,-94.6549111,38.898231,-94.6544095
12351-12346,38.8983753,-94.6544096,38.8983717,-94.6549091
14468-11516,38.9418679,-94.6040993,38.941912,-94.6048498
11516-14468,38.941912,-94.6048498,38.9418679,-94.6040993
923-11533,38.9424789,-94.5965732,38.9417613,-94.5966108
11533-923,38.9417613,-94.5966108,38.9424789,-94.5965732
11875-11881,38.9252862,-94.574138,38.9255267,-94.569812
11881-11875,38.9255267,-94.569812,38.9252862,-94.574138
12515-12445,38.8894247,-94.581008,38.8893871,-94.5802221
12445-12515,38.8893871,-94.5802221,38.8894247,-94.581008
12687-12634,38.8762542,-94.5868332,38.8773525,-94.5867581
12634-12687,38.8773525,-94.5867581,38.8762542,-94.5868332
12693-12843,38.871681,-94.602528,38.869875,-94.601944
12843-12693,38.869933,-94.601632,38.87177,-94.602274
12843-12876,38.8698637,-94.6019575,38.867655,-94.601204
587-12843,38.867793,-94.600851,38.869956,-94.601627
109-107,38.86199,-94.585921,38.861835,-94.584998
12892-12881,38.8622102,-94.5849772,38.8623665,-94.5858641
11506-840,38.942093,-94.661644,38.94211,-94.662141
840-11506,38.942063,-94.662146,38.942059,-94.661635
11522-841,38.942016,-94.669455,38.94202,-94.670043
841-11522,38.94193,-94.670056,38.941913,-94.669468
11678-11494,38.936386,-94.686191,38.93706,-94.686186
11494-11678,38.937056,-94.686304,38.936346,-94.686307
663-711,38.935258,-94.63353,38.935811,-94.635002
711-663,38.935811,-94.635002,38.935258,-94.63353
915-916,38.953684,-94.571962,38.954508,-94.572606
916-915,38.954508,-94.572606,38.953684,-94.571962
914-915,38.94817,-94.58018,38.94817,-94.57902
