Ramp,Metered Ramp,Archive Detector ID,RT ID,Detector Name,Longitude,Latitude,Link I Node,Link J Node,Link ID,Distance from downstream (J) node (ft),Distance from downstream (J) node (mi),ImrcpId
x,x,7334,345,I-435 E @ STATE LINE RD OR,-94.6092,38.936,14795,14796,14795-14796,0,0,421024770
,,7525,135,I-435 E @ STATE LINE RD,-94.60582,38.93749,14796,14793,14796-14793,0,0,411263598
,,8105,948,I-49 N @ Hickman Mills Drive,-94.5245,38.9124,15217,15210,15217-15210,0,0,519787520
,,8115,958,I-49 S @ Harry S Truman Drive,-94.5248,38.8957,15222,15232,15222-15232,0,0,320187666
,,8104,947,I-49 N @ Harry S Truman Drive,-94.5246,38.8957,15233,15223,15233-15223,0,0,464813586
,,8114,957,I-49 S @ 135th Street,-94.526,38.8791,15238,15239,15238-15239,0,0,515933062
,,8113,956,I-49 S @ 140th Street,-94.526578,38.870567,15239,15242,15239-15242,0,0,485238508
,,8102,945,I-49 N @ 140th Street,-94.5264,38.8703,15241,12766,15241-12766,0,0,309347436
x,,7588,214,I-435 E @ 69SB TO I-435EB FF,-94.706,38.9355,153,190,153-190,0,0,443406049
x,,7397,425,I-435 W @ 69SB TO I-435WB FF,-94.7087,38.936,153,319,153-319,0,0,428375237
,,8081,924,US-69 N @ 103rd Street,-94.705,38.9419,155,5016,155-5016,0,0,427812727
,,7700,577,I-435 E @ ANTIOCH,-94.678771,38.933979,2169,2274,2169-2274,0,0,442855887
x,,7795,762,I-435 E @ METCALF FR,-94.673025,38.932919,2274,11781,2274-11781,0,0,282545439
x,,7462,385,I-435 E @ QUIVIRA RD FR,-94.725611,38.934643,2450,11721,2450-11721,0,0,272558962
x,,7585,212,I-435 E @ 1-435EB TO 69NB CD,-94.709161,38.934936,251,2566,251-2566,0,0,473769312
,,8072,915,US-69 N @ I-435,-94.7047,38.9355,2520,2533,2520-2533,0,0,473794384
x,,7581,206,I-435 W @ 69NB TO I-435WB FF,-94.7032,38.936,2533,11651,2533-11651,0,0,344637084
,,8073,916,US-69 S @ I-435,-94.7051,38.9355,2538,2557,2538-2557,0,0,507667502
,,8235,1078,I-435 E @ NALL AVE,-94.648437,38.931634,2543,11718,2543-11718,0,0,487740262
x,,7456,210,I-435 E @ I-435EB TO 69SB FF,-94.707031,38.934431,255,223,255-223,0,0,489220454
x,,7459,287,I-435 E @ NALL AVE FR,-94.6501,38.9312,2598,11748,2598-11748,0,0,411194040
x,,7289,286,I-435 E @ NALL AVE CD,-94.6501,38.9314,2598,2615,2598-2615,0,0,296267812
x,,7295,295,I-435 W @ NALL AVE FR,-94.648,38.932,2599,11739,2599-11739,0,0,288426243
x,,7297,297,I-435 W @ NALL AVE CD,-94.6479,38.932,2599,2593,2599-2593,0,0,279770209
,,7639,54,I-435 E @ INDIAN CREEK,-94.69154,38.934569,2655,326,2655-326,0,0,491973954
x,,7300,301,I-435 E @ ROE AVE FR,-94.6419,38.9322,2674,11712,2674-11712,0,0,358634187
x,,7299,300,I-435 E @ ROE AVE CD,-94.6418,38.9322,2674,2702,2674-2702,0,0,429043416
x,,7317,325,I-435 W @ ROE AVE FR,-94.6389,38.9329,2676,11694,2676-11694,0,0,427738153
x,,7303,308,I-435 W @ ROE AVE CD,-94.6416,38.9325,2676,2672,2676-2672,0,0,366420702
,,8272,1115,I-435 E @ LEE BLVD,-94.620239,38.933164,2719,14794,2719-14794,0,0,362803857
,,7572,71,I-435 W @ INDIAN CREEK,-94.691512,38.934808,313,315,313-315,0,0,464777355
,,7571,70,I-435 W @ East of HWY 69,-94.70116,38.93546,315,317,315-317,0,0,348256597
,,7793,759,I-435 W @ AFTER HWY 69,-94.71348,38.93534,317,321,317-321,0,0,428349317
x,,7382,407,I-435 W @ QUIVIRA RD FR,-94.721618,38.935602,320,11623,320-11623,0,0,524450696
,,8269,1112,I-435 E @ Quivira road,-94.72408,38.93507,322,324,322-324,0,0,421711464
,,8271,1114,I-435 E @ Past Quivira road,-94.71344,38.93513,324,171,324-171,0,0,348759072
x,,7884,722,I-435 E @ ANTIOCH FR,-94.690503,38.934277,327,11683,327-11683,0,0,332813649
,,7640,55,I-435 E @ ANTIOCH RD,-94.684938,38.934232,328,2169,328-2169,0,0,497225063
,,8084,927,US-69 N @ 95th Street,-94.7057,38.9533,5176,5347,5176-5347,0,0,325985436
x,,8097,940,US-69 N @ 95th Street,-94.705745,38.953743,5176,5453,5176-5453,0,0,403987857
,,8091,934,US-69 S @ College,-94.704582,38.9227,5738,5805,5738-5805,0,0,507873750
,,8071,914,US-69 S @ 119th Street,-94.695,38.9097,5870,12222,5870-12222,0,0,356473072
x,x,7362,382,I-435 E @ WORNALL RD OR,-94.5951,38.9406,604,14785,604-14785,0,0,282456888
x,x,7412,275,I-435 E @ METCALF OR,-94.6642,38.9323,608,2331,608-2331,0,0,345687524
,,8270,1113,I-435 W @ Quivira road,-94.72407,38.93526,609,11657,609-11657,0,0,450509006
x,x,7402,255,I-435 E @ STATE LINE RD OR,-94.6045,38.9378,642,14793,642-14793,0,0,341228570
x,x,7604,233,I-435 E @ 104TH STREET OR,-94.567,38.9399,648,649,648-649,0,0,517019145
,,7804,581,I-435 E @ EAST OF 104TH ST,-94.55998,38.9394,649,603,649-603,0,0,285947372
,,7536,148,I-435 W @ EAST OF 104TH ST,-94.55987,38.93964,650,651,650-651,0,0,378767554
,,7534,146,I-435 W @ WEST OF 104TH ST,-94.57461,38.94032,651,14723,651-14723,0,0,306723782
x,,7601,230,I-435 W @ 104TH STREET FR,-94.5669,38.9401,651,880,651-880,0,0,375622698
,,7532,144,I-435 W @ WEST OF HOLMES RD,-94.58397,38.94074,653,11559,653-11559,0,0,275596906
,,8400,1242,I-435 E @ HWY 69,-94.704418,38.93514,171,2655,171-2655,0,0,382536594
,,8295,1138,I-435 E @ LAMAR AVE,-94.6586,38.9307,2469,2543,2469-2543,0,0,491383119
,,8412,1254,I-435 E @ WEST OF METCALF,-94.671435,38.932663,2274,2331,2274-2331,0,0,278707511
,,8296,1139,I-435 W @ LAMAR AVE,-94.658623,38.930941,11759,11735,11759-11735,0,0,412335870
,,8413,1255,I-435 W @ WEST OF METCALF,-94.671421,38.932861,11735,11706,11735-11706,0,0,460625436
,,8398,1240,I-435 E @  West of Quivira RD,-94.730705,38.934958,2447,2450,2447-2450,0,0,317609904
,,8399,1241,I-435 W @  West of Quivira RD,-94.730705,38.935146,11657,11659,11657-11659,0,0,312666421
