ramp,isMetered,archiveId,realTimeId,name,physicalLon,physicalLat,iNode,jNode,imrcpId,segmentId,detectedLon,detectedLat
x,,7363,383,I-35 N @ SOUTHWEST TRFWY OR,-945933999,390802000,-2147483648,-2147483648,447893516,1115433812,-945931859,390801740
x,,7364,386,I-35 S @ PENN VALLEY PKWY FR,-945936999,390801001,-2147483648,-2147483648,474398340,1289606889,-945935510,390805070
x,,7365,387,I-70 W @ WALNUT FR,-945823000,391070000,-2147483648,-2147483648,488764515,1292775427,-945823069,391070110
x,,7366,388,I-70 E @ WALNUT OR,-945823000,391067000,-2147483648,-2147483648,370305003,1148502817,-945822809,391065330
x,,7367,390,I-435 E @ QUIVIRA RD OR,-947221239,389346700,11721,323,320381876,1283594660,-947223079,389347271
x,,7369,392,I-35 S @ MILL STREET OR,-946288999,390572001,-2147483648,-2147483648,428017778,1147943320,-946291169,390572841
x,,7370,394,I-35 N @ MILL STREET FR,-946286000,390570001,-2147483648,-2147483648,381065442,1131616632,-946285919,390569921
x,,7371,395,I-70 E @ BLUERIDGE CUTOFF FR,-944762000,390522000,-2147483648,-2147483648,280731320,1252008212,-944762099,390521931
x,,7372,396,I-70 W @ BLUE RIDGE CUTOFF OR,-944759999,390526000,-2147483648,-2147483648,381696254,1257526883,-944759099,390528020
x,,7373,397,I-70 E @ BLUE RIDGE CUTOFF OR,-944732000,390509000,-2147483648,-2147483648,456850792,1201367242,-944732060,390508940
x,,7374,398,I-70 W @ BLUE RIDGE CUTOFF FR,-944730999,390512001,-2147483648,-2147483648,309294741,1324701140,-944728839,390516060
x,,7375,399,I-70 E @ STERLING AVE FR,-944501999,390472000,-2147483648,-2147483648,494020741,1197175106,-944502029,390468691
x,,7376,400,I-35 N @ W. PENNWAY FR,-945918000,390877000,-2147483648,-2147483648,363352175,1106758144,-945916839,390873441
x,,7377,402,I-35 S @ 95TH STREET OR,-947332999,389558001,-2147483648,-2147483648,358127599,1175436649,-947341689,389557210
x,,7378,403,I-35 S @ W. PENNWAY OR,-945922000,390879000,-2147483648,-2147483648,430073583,1174583052,-945923599,390873650
x,,7379,404,I-70 E @ BURLINGTON FR,-945794000,391067000,-2147483648,-2147483648,375527574,1219094038,-945794049,391064740
x,,7380,405,I-35 N @ 95TH STREET FR,-947327999,389557001,-2147483648,-2147483648,486649968,1195006836,-947327099,389556461
x,,7381,406,I-35 S @ 20TH STREET FR,-945918000,390893001,-2147483648,-2147483648,419970308,1329684449,-945917809,390894971
x,,7382,407,I-435 W @ QUIVIRA RD FR,-947216180,389356021,320,11623,524450696,1212396916,-947215999,389356701
x,,7383,408,I-70 W @ HWY 40 OR,-944458000,390475000,-2147483648,-2147483648,275356429,1134092398,-944457989,390474771
x,,7384,411,I-70 W @ HWY 40 FR,-944415000,390474001,-2147483648,-2147483648,285546633,1093114887,-944415019,390474321
x,,7385,412,I-70 E @ BLUE RIDGE BLVD OR,-944394999,390462000,-2147483648,-2147483648,381199930,1151943101,-944397859,390468571
x,,7386,413,I-35 S @ 95TH STREET FR,-947322000,389568001,-2147483648,-2147483648,334806836,1278931839,-947328489,389574320
x,,7387,414,I-35 N @ 95TH STREET OR,-947315999,389568001,-2147483648,-2147483648,453107046,1105498816,-947315349,389567980
x,,7388,415,I-70 E @ BURLINGTON OR,-945764000,391064001,-2147483648,-2147483648,326252037,1265313122,-945764120,391064331
x,,7389,416,I-35 N @ 17TH STREET FR,-945905999,390957001,-2147483648,-2147483648,419289158,1299953060,-945897750,390951761
x,x,7390,417,I-435 W @ HOLMES RD OR,-945840000,389409000,14772,654,512039000,1216498973,-945840129,389409730
,,7391,419,I-35 S @ I-670WB TO I-35SB FF,-945907999,390942001,-2147483648,-2147483648,454098632,1122778276,-945911590,390955511
x,,7392,420,I-35 S @ 14TH STREET OR,-945913999,390967000,-2147483648,-2147483648,445483487,1329462652,-945919309,390967331
x,x,7394,422,I-435 E @ HOLMES RD OR,-945834999,389404000,14781,14782,513676279,1151175204,-945836749,389403731
x,,7395,423,I-35 N @ 14TH STREET FR,-945913999,390968001,-2147483648,-2147483648,319488532,1252726600,-945910410,390968160
x,,7396,424,I-70 E @ ADMIRAL OR,-945727999,391038000,-2147483648,-2147483648,513759705,1202525228,-945724639,391037900
,,7397,425,I-435 W @ 69SB TO I-435WB FF,-947086999,389360000,153,319,428375237,1331894067,-947086819,389356120
x,,7398,246,I-35 S @ 75TH STREET OR,-946996000,389914000,-2147483648,-2147483648,307468784,1278800947,-946999279,389915290
x,,7399,248,I-35 N @ 75TH STREET FR,-946989999,389917001,-2147483648,-2147483648,479934028,1122127233,-946986940,389915791
x,,7400,252,I-70 W @ BEARDSLEY OR,-945894999,391072000,-2147483648,-2147483648,329437349,1151486267,-945906759,391074441
x,,7401,253,I-35 N @ BROADWAY FR,-945906999,391067000,-2147483648,-2147483648,379852430,1279534524,-945906970,391066990
x,x,7402,255,I-435 E @ STATE LINE RD OR,-946044999,389378001,642,14793,341228570,1279638645,-946046340,389378731
,,7403,258,I-435 W @ I-435 TO I-35NB FF,-947430379,389375191,-2147483648,-2147483648,365265849,1104983921,-947430679,389374980
x,,7404,260,I-70 W @ BROADWAY OR,-945888000,391075001,-2147483648,-2147483648,349033675,1226817782,-945892220,391076401
x,,7405,261,I-435 W @ STATE LINE RD FR,-946050999,389381000,11625,14792,469848180,1231506088,-946051120,389382150
x,,7407,266,I-35 N @ 75TH ST OR,-946971999,389945001,-2147483648,-2147483648,443535772,1209790709,-946963329,389943561
x,,7409,268,I-35 S @ 75TH ST FR,-946968999,389940000,-2147483648,-2147483648,299344363,1231764660,-946974490,389941390
x,,7410,269,I-70 E @ BROOKLYN AVE FR,-945573999,390956000,-2147483648,-2147483648,305993911,1080062895,-945573949,390956261
x,,7411,270,I-435 W @ METCALF OR,-946688999,389338000,11734,11706,281435231,1162440050,-946688780,389329491
x,x,7412,275,I-435 E @ METCALF OR,-946641999,389323000,608,2331,345687524,1250364320,-946646299,389311510
x,,7413,276,I-70 W @ PROSPECT AVE OR,-945532000,390963000,-2147483648,-2147483648,490959322,1334405232,-945532220,390962541
x,,7414,277,I-435 W @ METCALF FR,-946642999,389323000,11735,11734,291459625,1218364897,-946644150,389316970
x,,7415,278,I-70 E @ PROSPECT AVE FR,-945532749,390957010,-2147483648,-2147483648,373372039,1182139285,-945532639,390957301
x,,7416,279,I-70 W @ PROSPECT AVE FR,-945501749,390970970,-2147483648,-2147483648,418148008,1221733215,-945501529,390971291
x,,7417,281,I-70 W @ BENTON BLVD OR,-945455849,390970031,-2147483648,-2147483648,500915957,1101726805,-945455769,390970201
x,x,7418,426,I-435 W @ HOLMES RD OR,-945824000,389406001,14783,11575,397684763,1268778601,-945819479,389406401
x,,7419,427,I-70 W @ 8TH STREET FR,-945716909,391038751,-2147483648,-2147483648,279219466,1076987168,-945717129,391039231
x,,7420,428,I-435 W @ 69 TO 1-435WB CD,-947079099,389354690,-2147483648,-2147483648,360721198,1175066623,-947074379,389356621
x,,7421,429,I-435 W @ HOLMES RD FR,-945790580,389405650,14723,14774,399629600,1301164838,-945790669,389405561
,,7422,37,I-35 S @ 67TH ST,-946941000,390062000,-2147483648,-2147483648,512119189,1277966641,-946942309,390063121
,,7423,38,I-35 S @ 63RD ST / SHAWNEE MI,-946932000,390134000,-2147483648,-2147483648,425872362,1250866304,-946934039,390134360
,,7424,39,I-35 S @ JOHNSON DR,-946923000,390208001,-2147483648,-2147483648,478493533,1230832614,-946922779,390207971
,,7425,40,I-35 S @ ANTIOCH RD,-946892090,390298001,-2147483648,-2147483648,357726599,1079140991,-946896169,390299980
,,7426,41,I-35 S @ ANTIOCH RD,-946838230,390358001,-2147483648,-2147483648,518981949,1329253759,-946841189,390364030
,,7427,42,I-35 S @ I-635,-946804000,390387000,-2147483648,-2147483648,370384412,1167439035,-946804000,390387000
,,7428,44,I-35 S @ LAMAR AVE,-946590000,390440000,-2147483648,-2147483648,499330580,1280900825,-946590079,390440110
,,7432,131,I-70 W @ STERLING AVE,-944519999,390476001,-2147483648,-2147483648,526414662,1249865077,-944519949,390476190
,,7433,143,I-435 W @ EAST OF WORNALL RD,-945948089,389408350,-2147483648,-2147483648,392680380,1078746689,-945947959,389408110
,,7434,165,I-70 W @ 11TH ST,-945725689,390992591,-2147483648,-2147483648,378750891,1158929339,-945725549,390992601
,,7435,177,I-70 W @ BENTON BLVD,-945466820,390968961,-2147483648,-2147483648,411902498,1080794300,-945466719,390969500
,,7436,189,I-70 W @ LISTER AVE,-945250799,390723080,-2147483648,-2147483648,319023350,1265492721,-945250579,390722871
,,7439,154,I-70 E @ BROADWAY,-945876669,391068170,-2147483648,-2147483648,316679727,1240579696,-945876879,391068820
,,7440,176,I-70 E @ CHESTNUT AVE,-945515999,390962001,-2147483648,-2147483648,272036558,1328279408,-945517729,390962961
x,,7444,207,I-35 N @ 87TH ST FR,-947190999,389701001,-2147483648,-2147483648,526525089,1210894645,-947190679,389700781
,,7445,6,I-35 N @ QUIVIRA RD,-947220999,389672000,-2147483648,-2147483648,451168650,1255043271,-947223560,389673171
x,,7446,220,I-35 S @ 87TH STREET FR,-947172999,389726000,-2147483648,-2147483648,483670577,1210585204,-947178289,389727771
,,7447,34,I-35 S @ 75TH ST,-946996840,389913001,-2147483648,-2147483648,510654505,1191698282,-946996840,389913001
x,,7448,374,I-35 S @ 18TH STREET FR,-946438579,390484940,-2147483648,-2147483648,441611656,1084427211,-946441319,390484690
,,7449,72,I-435 W @ ANTIOCH RD,-946849379,389344711,14190,313,289192415,1306900977,-946849609,389344431
,,7450,185,I-70 W @ 27TH ST,-945370999,390773001,-2147483648,-2147483648,362717144,1123452694,-945372459,390772340
x,,7451,320,I-70 W @ 18TH ST FR,-945408000,390883000,-2147483648,-2147483648,374954073,1112641498,-945408829,390883151
,,7452,375,I-70 E @ I-435 TO I-435SB FF,-944932529,390601670,-2147483648,-2147483648,491039635,1251243000,-944933220,390601291
,,7454,139,I-435 E @ WEST OF 104TH ST,-945747899,389399401,14779,649,280434738,1211495315,-945748029,389400351
,,7455,181,I-70 E @ 18TH ST,-945417999,390896000,-2147483648,-2147483648,439753275,1230929485,-945419399,390895761
,,7456,210,I-435 E @ I-435EB TO 69SB FF,-947070309,389344310,255,223,489220454,1142105625,-947076310,389329741
,,7458,254,I-435 E @ I-35NB TO I-435EB FF,-947440140,389370030,-2147483648,-2147483648,462729496,1145143400,-947440820,389369010
x,,7459,287,I-435 E @ NALL AVE FR,-946500999,389312000,2598,11748,411194040,1279024840,-946500809,389310631
x,,7460,326,I-70 E @ 23RD ST FR,-945415179,390855141,-2147483648,-2147483648,504954613,1304499284,-945414360,390854960
x,,7461,358,I-70 E @ 6TH ST OR,-945862999,391069001,-2147483648,-2147483648,305907125,1175032144,-945862989,391067031
x,,7462,385,I-435 E @ QUIVIRA RD FR,-947256109,389346431,2450,11721,272558962,1278053681,-947255799,389346851
x,,7463,409,I-70 E @ HWY 40 FR,-944456999,390472000,-2147483648,-2147483648,487986343,1122737133,-944452679,390471070
,,7466,99,I-35 N @ PARVIN RD,-945594999,391647001,-2147483648,-2147483648,438308422,1341583339,-945591279,391646940
,,7468,133,I-70 W @ CRYSLER AVE,-944373999,390472000,-2147483648,-2147483648,313557518,1284726041,-944374310,390470280
,,7469,149,I-435 W @ GRANDVIEW RD,-945507499,389392600,14722,650,330230830,1230283204,-945507539,389390871
,,7470,167,I-70 W @ I-70 / I-670,-945709029,390974540,-2147483648,-2147483648,288210198,1242644438,-945709399,390974581
,,7471,184,I-70 E @ 27TH ST,-945380860,390780890,-2147483648,-2147483648,393778162,1245523060,-945380619,390780920
,,7472,198,I-35 S @ I-35SB TO I-435WB FF,-947455999,389411000,-2147483648,-2147483648,306960982,1140453158,-947465439,389417200
,,7473,208,I-35 N @ I-670WB TO I-35NB FF,-945922000,390980000,-2147483648,-2147483648,283125038,1280288087,-945919849,390979070
x,,7474,217,I-35 N @ 87TH STREET OR,-947168999,389726000,-2147483648,-2147483648,474560001,1168732084,-947167879,389725100
,,7475,227,I-35 S @ 35SB TO 69SB FF,-947089439,389818701,-2147483648,-2147483648,532685220,1223897386,-947095620,389813971
x,,7476,235,I-70 W @ PASEO BLVD OR,-945680799,390965740,-2147483648,-2147483648,431304432,1273956107,-945680969,390965250
x,,7477,243,I-70 W @ PASEO BLVD FR,-945619059,390963191,-2147483648,-2147483648,423136445,1216885560,-945619229,390962791
,,7478,4,I-35 N @ 95TH ST,-947333559,389556130,-2147483648,-2147483648,428850726,1235038145,-947334179,389556341
,,7479,36,I-35 S @ 67TH ST,-946951999,390000001,-2147483648,-2147483648,279377229,1077228838,-946949170,389999840
x,,7480,256,I-70 W @ INDEPENDENCE AVE OR,-945892999,391071001,-2147483648,-2147483648,512613280,1179646113,-945901659,391075361
x,,7481,272,I-70 W @ BROOKLYN AVE OR,-945578119,390961441,-2147483648,-2147483648,487723536,1247017272,-945578239,390961841
x,,7482,280,I-70 E @ PROSPECT AVE OR,-945499599,390965071,-2147483648,-2147483648,277546161,1182291202,-945500459,390966460
x,,7483,290,I-35 N @ 67TH ST OR,-946934999,390085000,-2147483648,-2147483648,315661519,1195496356,-946935119,390085050
x,,7484,299,I-70 E @ 18TH ST FR,-945433299,390915140,-2147483648,-2147483648,372093454,1266619686,-945432119,390915211
x,,7485,315,I-70 W @ 18TH ST OR,-945418130,390900240,-2147483648,-2147483648,272507674,1096755694,-945416399,390896261
x,,7486,324,I-35 S @ 27TH / SW TRFWY FR,-945944999,390791000,-2147483648,-2147483648,321576464,1192237039,-945943450,390788750
x,,7487,333,I-70 W @ 27TH ST OR,-945374909,390778231,-2147483648,-2147483648,449840708,1167493736,-945369029,390771511
x,,7488,341,I-70 E @ JACKSON AVE OR,-945326919,390726561,-2147483648,-2147483648,520017704,1121818733,-945327290,390726910
x,,7489,349,I-35 N @ I-635 CD,-946718000,390400000,-2147483648,-2147483648,388589901,1255783627,-946718000,390400000
x,,7490,357,I-70 W @ INDEPENDENCE AVE FR,-945871999,391074000,-2147483648,-2147483648,514608662,1238457761,-945865720,391073741
x,,7491,366,I-35 N @ LAMAR AVE OR,-946551999,390450001,-2147483648,-2147483648,320989306,1242439730,-946550699,390449491
,,7492,376,I-70 W @ I-435 TO I-70WB FF,-944932529,390610281,-2147483648,-2147483648,516516384,1216053010,-944932529,390610660
,,7493,82,I-435 W @ STATE LINE RD,-946099999,389362000,-2147483648,-2147483648,393578078,1169888809,-946101110,389364090
,,7494,85,I-35 N @ 20TH ST,-945908579,390910421,-2147483648,-2147483648,526258868,1161120125,-945909119,390910501
,,7495,86,I-35 N @ 17TH ST To I-35 North,-945907999,390943000,-2147483648,-2147483648,377203420,1130981290,-945908210,390943020
,,7496,87,I-35 N @ 17TH ST I-70 East,-945905999,390941000,-2147483648,-2147483648,334044627,1198287228,-945905469,390941060
,,7497,88,I-35 S @ 17TH ST DELETED,-945905999,390955001,-2147483648,-2147483648,320863575,1111046975,-945912869,390955300
,,7498,89,I-35 N @ 12TH ST,-945938189,391004790,-2147483648,-2147483648,367724728,1137104659,-945938950,391005670
,,7499,90,I-35 N @ I-70,-945926000,391051001,-2147483648,-2147483648,442069063,1275313952,-945927249,391051551
,,7501,97,I-35 N @ ARMOUR RD / 210 HWY,-945593999,391524001,-2147483648,-2147483648,416915567,1106905626,-945596270,391524111
,,7502,98,I-35 N @ PARVIN RD,-945597999,391569001,-2147483648,-2147483648,483877223,1106905626,-945595619,391569290
,,7505,102,I-35 S @ 20TH ST,-945912019,390910720,-2147483648,-2147483648,530876276,1077423059,-945911099,390910710
,,7506,103,I-35 S @ 17TH ST,-945909000,390943000,-2147483648,-2147483648,362341842,1324555713,-945911099,390943101
,,7508,111,I-35 S @ ARMOUR RD / 210 HWY,-945593999,391524001,-2147483648,-2147483648,534052400,1248043269,-945598300,391524191
,,7509,112,I-35 S @ PARVIN RD,-945597999,391569001,-2147483648,-2147483648,393153289,1248043269,-945597929,391569040
,,7510,113,I-35 S @ PARVIN RD,-945594999,391647001,-2147483648,-2147483648,372433656,1103137796,-945594279,391647031
x,,7513,119,I-70 E @ EAST OF BLUE RIDGE CUTOFF,-944679919,390487401,-2147483648,-2147483648,424727660,1339532215,-944679759,390487691
,,7514,120,I-70 E @ PITTMAN RD,-944574000,390478001,-2147483648,-2147483648,380254948,1267885777,-944574129,390476610
,,7517,123,I-70 E @ CRYSLER AVE,-944376319,390468321,-2147483648,-2147483648,468781340,1139208149,-944376399,390468530
x,,7521,129,I-70 W @ EAST OF BLUE RIDGE CUTOFF,-944678750,390489550,-2147483648,-2147483648,473452609,1249865077,-944678999,390489190
,,7522,130,I-70 W @ PITTMAN RD,-944574000,390478001,-2147483648,-2147483648,455455708,1249865077,-944573969,390478231
,,7525,135,I-435 E @ STATE LINE RD,-946058199,389374900,14796,14793,411263598,1192398741,-946058459,389375561
,,7526,136,I-435 E @ EAST OF WORNALL RD,-945947699,389405301,14788,14785,404124449,1142274390,-945947689,389406151
,,7527,137,I-435 E @ WEST OF HOLMES RD,-945842199,389403200,14776,14782,469644076,1113010467,-945842009,389404521
,,7528,138,I-435 E @ EAST OF HOLMES RD,-945799099,389401201,14782,14779,347678801,1175227914,-945799039,389402721
,,7529,140,I-435 E @ AT 104TH ST,-945668499,389396101,-2147483648,-2147483648,454427023,1235043191,-945668629,389396551
,,7530,141,I-435 W @ STATE LINE RD,-946058199,389378201,11625,11640,460824891,1143658181,-946057979,389377811
,,7531,142,I-435 W @ WEST OF WORNALL RD,-945989699,389400301,14786,11573,432844614,1279935627,-945989419,389399591
,,7532,144,I-435 W @ WEST OF HOLMES RD,-945839699,389407400,653,11559,275596906,1303652333,-945839540,389406601
,,7533,145,I-435 W @ EAST OF HOLMES RD,-945797100,389405701,14723,11575,344183974,1082362725,-945796999,389404771
,,7534,146,I-435 W @ WEST OF 104TH ST,-945746100,389403200,651,14723,306723782,1192789371,-945746149,389402310
